shoot_id,batch,status,priority,content_type,title,what_it_shows,linked_milestone,target_platform,target_duration,location,planned_shoot_date,planned_publish_date,props_equipment,outfit_notes,coach_needed,script_link,raw_footage_link,edited_link,published_url,notes
MS-01,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Safe Pool Entry and Exit,Controlled ladder/edge entry; calm exit without assistance,M1 Safe Pool Entry and Exit,Academy app + YouTube,30-45s,TBD,,,Pool only,Standard SwimBuddz one-piece,Yes (cue + safety),,,,,Establish framing convention for all milestone videos in this shoot
MS-02,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Controlled Breathing - 10 cycles,Face submerged; inhale above / exhale slow through nose; steady rhythm,M2 Controlled Breathing (10 cycles),Academy app + YouTube,45-60s,TBD,,,None,Standard,Yes,,,,,Underwater angle showing bubbles is critical
MS-03,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Recovery to Standing,Tuck-press-rotate from front float; independent recovery within 3s,M3 Recovery to Standing,Academy app + YouTube,30-45s,TBD,,,None,Standard,Yes (spotter),,,,,Show two angles: side and front
MS-04,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,5m Glide from Wall,Streamline push-off; 5m glide; horizontal posture,M4 5m Glide from Wall,Academy app + YouTube,30-45s,TBD,,,None,Standard,Yes,,,,,Mark 5m line on deck for reference
MS-05,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,10m Flutter Kick,Hip-driven kick with kickboard; relaxed ankles; consistent rhythm,M5 10m Flutter Kick,Academy app + YouTube,30-45s,TBD,,,Kickboard,Standard,Yes,,,,,Underwater shot of legs essential
MS-06,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,6-Kick Breathing Drill,Full pool length; 6 kicks face-in / 6 kicks face-up; consistent kick,M6 6-Kick Breathing Drill Proficiency,Academy app + YouTube,45-60s,TBD,,,Kickboard,Standard,Yes,,,,,Voiceover counting beats helps
MS-07,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,25m Kick with Breathing,One pool length; rhythmic breathing; hip-driven kick; no stopping,M7 25m Kick with Breathing,Academy app + YouTube,45-60s,TBD,,,Kickboard,Standard,Yes,,,,,Wide pool-length angle
MS-08,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,50m Kick,Two lengths flutter kick; brief wall rest allowed; form maintained,M8 50m Kick (with or without rest),Academy app + YouTube,60-90s,TBD,,,Kickboard,Standard,Yes,,,,,Speed up middle section in edit
MS-09,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Single-Arm Freestyle Drill,10m single-arm with kickboard; high-elbow catch; centerline pull,M9 Single-Arm Freestyle Drill,Academy app + YouTube,45-60s,TBD,,,Kickboard,Standard,Yes,,,,,Underwater + side angles to show pull path
MS-10,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Catch-Up Drill with Side Breathing,15m catch-up; arms touch in front; rotation breathing; continuous kick,M10 Catch-Up Drill with Side Breathing,Academy app + YouTube,45-60s,TBD,,,None,Standard,Yes,,,,,Front-on angle to show arm meet point
MS-11,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,25m Freestyle with Breathing,Continuous 25m freestyle; side breathing every 3-5 strokes; no equipment,M11 25m Freestyle with Breathing,Academy app + YouTube,45-60s,TBD,,,None,Standard,Yes,,,,,Capture clean technique - this is the marketing hero
MS-12,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Back Float - 20 seconds,Float on back 20s; minimal corrections; ears submerged; chest up,M12 Back Float (20 seconds),Academy app + YouTube,30-45s,TBD,,,None,Standard,Yes (spotter),,,,,Important for trauma-informed messaging
MS-13,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Treading Water - 30 seconds,Deep end 30s tread; egg-beater or scissor kick; head above water,M13 Treading Water (30 seconds),Academy app + YouTube,30-45s,TBD,,,None,Standard,Yes (deep end safety),,,,,Show as a rest/safety technique
MS-14,Milestones (Beginner Freestyle 50m),Planned,High,Milestone Reference,Final Assessment - 50m Continuous Freestyle,Continuous 50m no stops; clean stroke; controlled breathing,M14 Final Assessment: 50m Continuous Freestyle,Academy app + YouTube,90-120s,TBD,,,None,Standard,Yes,,,,,Capstone clip - cinematic edit; full song
YT-01,YouTube Tutorials (Series 1),Planned,High,YouTube Tutorial,Why Adults Are Scared of Water (and the SwimBuddz approach),Trauma-informed framing; SwimBuddz philosophy; what to expect in week 1,,YouTube long-form,5-7 min,On-deck + B-roll,,,Mic on deck,Standard,Yes (Daniel + creator),,,,,Anchor video for the channel - pin to top
YT-02,YouTube Tutorials (Series 1),Planned,High,YouTube Tutorial,Side Breathing Without Lifting Your Head,Common mistake / fix; rotation vs head lift; drills to fix,M11 25m Freestyle with Breathing,YouTube long-form,4-6 min,Pool,,,None,Standard,Yes,,,,,Pair with reel SOC-02
YT-03,YouTube Tutorials (Series 1),Planned,High,YouTube Tutorial,Hip-Driven Kick - Stop Kicking from Your Knees,Knee kick vs hip kick comparison; underwater demo; drills,M5 / M6,YouTube long-form,4-6 min,Pool,,,Kickboard,Standard,Yes,,,,,Pair with reel SOC-03
YT-04,YouTube Tutorials (Series 1),Planned,Medium,YouTube Tutorial,The Streamline Push-Off Most Adults Skip,Why streamline matters; how to set up; how to glide farther,M4 5m Glide from Wall,YouTube long-form,3-5 min,Pool,,,None,Standard,Yes,,,,,Easy win clip
YT-05,YouTube Tutorials (Series 1),Planned,Medium,YouTube Tutorial,How to Tread Water Without Tiring,Egg-beater vs scissor; energy economy; survival framing,M13 Treading Water,YouTube long-form,4-6 min,Pool deep end,,,None,Standard,Yes (deep end safety),,,,,Position as life-skill content
YT-06,YouTube Tutorials (Series 1),Planned,Medium,YouTube Tutorial,Catch-Up Drill - The Adult Beginner's Best Friend,What it is; why it works; common mistakes,M10 Catch-Up Drill,YouTube long-form,4-6 min,Pool,,,None,Standard,Yes,,,,,
YT-07,YouTube Tutorials (Series 1),Planned,Medium,YouTube Tutorial,Bilateral Breathing - When to Add It,Progression from one-side; benefits; drills,Post-M11,YouTube long-form,4-6 min,Pool,,,None,Standard,Yes,,,,,Slightly advanced - good retention pull
YT-08,YouTube Tutorials (Series 1),Planned,Low,YouTube Tutorial,Goggles Skin Hair - The Pool Routine for Lagos Swimmers,Pre-pool prep; chlorine + skin; sunscreen choices; post-pool,,YouTube long-form,5-7 min,Pool deck + bathroom,,,Sunscreen + hair products,Standard,Yes,,,,,Cross-promote SUNSCREEN_GUIDE.md content
